Customer ID,Age,City,Zip Code,Latitude,Longitude,Number of Referrals,Offer,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Streaming Music,Unlimited Data,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue
0002-ORFBO,37,Frazier Park,93225,34.827662,-118.999073,2,None,42.39,16,No,Yes,0,0,381.51,974.81
0003-MKNFE,46,Glendale,91206,34.162515,-118.203869,0,None,10.69,10,Yes,No,38.33,10,96.21,610.28
0004-TLHLJ,50,Costa Mesa,92627,33.645672,-117.922613,0,Offer E,33.65,30,No,Yes,0,0,134.6,415.45
0011-IGKFF,78,Martinez,94553,38.014457,-122.115432,1,Offer D,27.82,4,No,Yes,0,0,361.66,1599.51
0013-EXCHZ,75,Camarillo,93010,34.227846,-119.079903,3,None,7.38,11,No,Yes,0,0,22.14,289.54
0013-MHZWF,23,Midpines,95345,37.581496,-119.972762,0,Offer E,16.77,73,Yes,Yes,0,0,150.93,722.38
0013-SMEOE,67,Lompoc,93437,34.757477,-120.550507,1,Offer A,9.96,14,Yes,Yes,0,0,707.16,8611.41
0014-BMAQU,52,Napa,94558,38.489789,-122.27011,8,Offer B,12.96,7,No,No,0,20,816.48,6214.28
0015-UOCOJ,68,Simi Valley,93063,34.296813,-118.685703,0,Offer E,10.53,21,No,Yes,0,0,73.71,414.06
0016-QLJIS,43,Sheridan,95681,38.984756,-121.345074,3,None,28.46,14,Yes,Yes,0,0,1849.9,7807.8
0017-DINOC,47,Rancho Santa Fe,92091,32.99356,-117.207121,0,None,,10,No,Yes,0,0,0,2460.55
0017-IUDMW,25,Sunnyvale,94086,37.378541,-122.020456,2,None,16.01,59,Yes,Yes,0,0,1152.72,9609.47
0018-NYROU,58,Antelope,95843,38.715498,-121.363411,0,None,18.65,10,No,Yes,0,0,93.25,444.75
0019-EFAEP,32,La Mesa,91942,32.782501,-117.01611,0,Offer A,2.25,16,No,Yes,0,0,162,7423.25
0019-GFNTW,39,Los Olivos,93441,34.70434,-120.02609,0,None,,19,No,Yes,0,0,0,2560.1
0020-INWCK,58,Woodlake,93286,36.464635,-119.094348,9,Offer A,27.26,12,Yes,Yes,0,0,1935.46,8784.86
0020-JDNXP,52,Point Reyes Station,94956,38.060264,-122.830646,0,None,,20,Yes,Yes,0,0,0,1993.2
0021-IKXGC,72,San Marcos,92078,33.119028,-117.166036,0,Offer E,7.77,22,No,Yes,0,0,7.77,79.87
0022-TCJCI,79,Daly City,94015,37.680844,-122.48131,0,None,10.67,17,No,Yes,0,0,480.15,3271.65
0023-HGHWL,67,Morgan Hill,95037,37.161544,-121.649371,0,None,,9,No,Yes,0,0,0,25.1
0023-UYUPN,79,Ahwahnee,93601,37.375816,-119.739935,0,None,31.43,,,,0,0,1571.5,2877.8
0023-XUOPT,26,Carnelian Bay,96140,39.227434,-120.091806,1,None,43.56,52,No,Yes,0,0,566.28,1781.88
0027-KWYKW,30,Alpaugh,93201,35.869626,-119.498771,1,Offer D,34.91,30,No,Yes,0,0,802.93,2652.88
0030-FNXPP,22,Keeler,93530,36.560498,-117.962461,0,None,3.12,,,,0,0,9.36,66.56
0031-PVLZI,34,Korbel,95550,40.7666,-123.80458,0,Offer E,12.43,,,,0,0,49.72,126.07
0032-PGELS,37,Palomar Mountain,92060,33.309852,-116.823091,1,None,,19,No,Yes,0,0,0,30.5
0036-IHMOT,37,Parlier,93648,36.622237,-119.521126,10,None,35.04,57,Yes,No,0,20,1927.2,7603.95
0040-HALCW,42,Modesto,95358,37.612612,-121.108568,3,None,19.7,,,,0,0,1063.8,2154.4
0042-JVWOJ,64,Glen Ellen,95442,38.368744,-122.522642,0,Offer C,37.7,,,,21.25,0,980.2,1430.8
0042-RLHYP,47,Eureka,95503,40.737431,-124.108897,5,None,38.39,,,,0,0,2648.91,4045.81
0048-LUMLS,23,Moss Beach,94038,37.515556,-122.502311,1,Offer C,43.01,51,Yes,Yes,0,0,1591.37,4838.92
0048-PIHNL,48,Los Angeles,90058,34.001617,-118.222274,5,Offer B,49.58,,,,0,0,2429.42,3330.32
0052-DCKON,28,Los Angeles,90063,34.044271,-118.185237,9,None,43.77,41,Yes,Yes,0,0,2888.82,10830.97
0052-YNYOT,28,Calexico,92231,32.690654,-115.431225,0,None,23.12,,,,30.53,0,1549.04,2861.91
0056-EPFBG,33,Redding,96003,40.677649,-122.29467,4,None,,22,No,Yes,0,0,0,825.4
0057-QBUQH,31,San Martin,95046,37.084697,-121.606417,0,None,30.64,,,,0,0,1317.52,2387.67
0058-EVZWM,37,Stockton,95209,38.044523,-121.348048,2,Offer B,5.08,9,No,Yes,0,0,279.4,5239
0060-FUALY,60,Los Angeles,90003,33.964131,-118.272783,4,Offer B,16.39,14,No,Yes,0,0,967.01,6564.66
0064-SUDOG,48,Huntington Park,90255,33.97803,-118.217141,3,None,19.28,,,,0,0,231.36,455.86
0064-YIJGF,60,Yermo,92398,35.013299,-116.834092,7,Offer C,25.26,23,No,Yes,0,0,682.02,2611.02
0067-DKWBL,69,San Diego,92129,32.961064,-117.134917,0,None,43.99,27,No,Yes,0,0,87.98,179.08
0068-FIGTF,20,Fremont,94539,37.516791,-121.899117,0,Offer C,48.91,59,Yes,Yes,0,0,1320.57,3399.52
0071-NDAFP,31,Santa Rosa,95405,38.439696,-122.668817,1,None,23.69,,,,44.42,0,592.25,1178.43
0074-HDKDG,46,San Jose,95126,37.327069,-121.916819,5,None,6.45,19,No,Yes,44.9,0,161.25,1727.35
0076-LVEPS,57,Tujunga,91042,34.296574,-118.244839,0,None,,21,No,Yes,12.26,0,0,1230.19
0078-XZMHT,19,Visalia,93291,36.391777,-119.372842,5,None,32.36,52,Yes,Yes,0,0,2329.92,8646.12
